posterior,success
0.5,0.47
0.41666666666666663,0.6
0.4027777777777778,0.55
0.3958333333333333,0.6
0.4131944444444444,0.53
0.43113425925925924,0.59
0.45071373456790115,0.51
0.47124164094650195,0.56
0.49189546896433456,0.65
0.5100027327674895,0.69
0.5286089945558984,0.59
0.5460162099551324,0.66
0.5620028439536178,0.66
0.5777079682945385,0.74
0.5926510927572133,0.71
0.6064540469803313,0.64
0.6199858515476071,0.69
0.6328641759507894,0.74
0.6449275762052176,0.62
0.6566809853732916,0.79
0.6679182597648781,0.72
0.6785217391782529,0.8
0.6888306889914446,0.8
0.6987095450758978,0.81
0.708088772920213,0.79
0.7171911765432654,0.78
0.7259328612922994,0.87
0.7342690325659702,0.89
0.7423516001752649,0.79
0.750126842643426,0.79
0.7575671873933534,0.8
0.7647772270497627,0.85
0.7717230716833271,0.84
0.778387857720002,0.84
0.7848448735801133,0.71
0.7910728732069704,0.76
0.7970620098085374,0.81
0.802864302920058,0.89
0.8084667620927148,0.84
0.8138640456690108,0.83
0.8190935860760112,0.84
0.8241477614597112,0.79
0.8290241292085966,0.89
0.8337499783661965,0.88
0.8383211829261487,0.82
0.8427371368666922,0.95
0.847018000709073,0.88
0.8511619078918214,0.87
0.8551693921509967,0.81
0.8590555494129081,0.9
0.8628199555901321,0.85
0.8664638251218445,0.89
0.8699986184326564,0.89
0.8734248120073597,0.93
0.8767440002036685,0.94
0.8799650065127771,0.88
0.883088848977509,0.93
0.8861173061736667,0.93
0.8890572687416837,0.9
0.8919100592607909,0.92
0.8946775149438247,0.91
0.8973650942551569,0.94
0.8999742690503824,0.93
0.9025068563421836,0.92
0.9049672414558381,0.9
0.907356945145946,0.87
0.9096777164915357,0.96
0.911933127315284,0.93
0.9141246837378295,0.92
0.9162540397570079,0.99
0.9183241430603509,0.94
0.9203364462788295,0.92
0.9222924946855999,0.93
0.9241947511718488,0.93
0.9260445924697528,0.95
0.9278434502172159,0.88
0.9295934059807109,0.98
0.9312957490531275,0.93
0.93295179805016,0.97
0.9345633307907536,0.9
0.936131544675566,0.97
0.9376576492837474,0.92
0.9391431774361156,0.98
0.9405892347161408,0.98
0.9419969275920679,0.96
0.9433675888458362,0.98
0.9447022351198189,0.96
0.946001876692157,0.93
0.9472676810874967,0.94
0.9485005805258374,0.94
0.9497014963972245,0.94
0.9508714581789233,0.93
0.9520113190597064,0.96
0.9531219188347644,0.94
0.9542041704634292,0.98
0.9552588538616327,0.96
0.9562867342749767,0.99
0.957288625374886,0.97
0.9582652396053183,0.93
0.9592172743212379,0.98
