posterior,success
0.5,0.435
0.41666666666666663,0.585
0.4027777777777778,0.51
0.3958333333333333,0.54
0.4131944444444444,0.545
0.43113425925925924,0.62
0.45071373456790115,0.535
0.47124164094650195,0.59
0.49189546896433456,0.695
0.5100027327674895,0.615
0.5286089945558984,0.7
0.5460162099551324,0.645
0.5620028439536178,0.695
0.5777079682945385,0.71
0.5926510927572133,0.69
0.6064540469803313,0.665
0.6199858515476071,0.705
0.6328641759507894,0.72
0.6449275762052176,0.695
0.6566809853732916,0.73
0.6679182597648781,0.74
0.6785217391782529,0.77
0.6888306889914446,0.735
0.6987095450758978,0.78
0.708088772920213,0.8
0.7171911765432654,0.775
0.7259328612922994,0.78
0.7342690325659702,0.775
0.7423516001752649,0.785
0.750126842643426,0.77
0.7575671873933534,0.73
0.7647772270497627,0.775
0.7717230716833271,0.845
0.778387857720002,0.805
0.7848448735801133,0.805
0.7910728732069704,0.81
0.7970620098085374,0.855
0.802864302920058,0.785
0.8084667620927148,0.91
0.8138640456690108,0.825
0.8190935860760112,0.84
0.8241477614597112,0.86
0.8290241292085966,0.88
0.8337499783661965,0.895
0.8383211829261487,0.875
0.8427371368666922,0.91
0.847018000709073,0.865
0.8511619078918214,0.905
0.8551693921509967,0.84
0.8590555494129081,0.88
0.8628199555901321,0.855
0.8664638251218445,0.875
0.8699986184326564,0.89
0.8734248120073597,0.9
0.8767440002036685,0.88
0.8799650065127771,0.915
0.883088848977509,0.895
0.8861173061736667,0.87
0.8890572687416837,0.9
0.8919100592607909,0.89
0.8946775149438247,0.93
0.8973650942551569,0.92
0.8999742690503824,0.95
0.9025068563421836,0.94
0.9049672414558381,0.9
0.907356945145946,0.89
0.9096777164915357,0.945
0.911933127315284,0.905
0.9141246837378295,0.93
0.9162540397570079,0.95
0.9183241430603509,0.94
0.9203364462788295,0.915
0.9222924946855999,0.91
0.9241947511718488,0.92
0.9260445924697528,0.96
0.9278434502172159,0.92
0.9295934059807109,0.955
0.9312957490531275,0.935
0.93295179805016,0.92
0.9345633307907536,0.95
0.936131544675566,0.945
0.9376576492837474,0.95
0.9391431774361156,0.975
0.9405892347161408,0.945
0.9419969275920679,0.93
0.9433675888458362,0.96
0.9447022351198189,0.96
0.946001876692157,0.97
0.9472676810874967,0.945
0.9485005805258374,0.965
0.9497014963972245,0.965
0.9508714581789233,0.94
0.9520113190597064,0.975
0.9531219188347644,0.94
0.9542041704634292,0.935
0.9552588538616327,0.96
0.9562867342749767,0.97
0.957288625374886,0.96
0.9582652396053183,0.975
0.9592172743212379,0.96
0.9601454578517411,0.99
0.9610504408097551,0.95
0.9619328588606383,0.98
0.9627933664032869,0.97
0.963632557580681,0.97
0.9644510120835053,0.98
0.9652493198187851,0.98
0.9660280234758459,0.99
0.9667876519990835,0.965
0.9675287386882979,0.97
0.9682517794220229,0.98
0.9689572571566678,0.965
0.9696456552337521,0.975
0.9703174269851331,0.97
0.9709730136938137,0.96
0.9716128543988596,0.98
0.9722373637801998,0.98
0.9728469453496977,0.99
0.9734419986934039,0.965
0.9740229033827846,0.97
0.9745900286819221,0.985
0.9751437389119701,0.98
0.9756843817509483,0.99
0.976212295393069,0.98
0.9767278125350823,0.98
0.9772312518731432,0.99
0.9777229233963306,0.995
0.9782031313598463,0.965
0.9786721681116363,0.985
0.9791303180175687,0.975
0.9795778596884823,0.975
0.9800150615046863,0.98
0.9804421845361522,0.99
0.9808594842188636,0.98
0.9812672071166849,0.995
0.981665593102185,0.985
0.9820548766255899,0.98
0.9824352843782214,0.99
0.9828070369283672,0.98
0.9831703496880192,0.985
0.9835254312329613,0.995
0.983872484536109,0.985
0.9842117077093908,1.0
0.9845432928017541,0.995
0.9848674267344789,0.99
0.9851842918751831,0.975
0.9854940651832795,0.98
0.9857969189240487,0.975
0.9860930211167948,0.985
0.9863825349325614,0.99
0.9866656192434408,0.99
0.9869424289759454,0.99
0.9872131146915035,0.99
0.9874778230126385,0.995
0.9877366969045618,0.99
0.987989875387782,1.0
0.9882374938718554,0.985
0.9884796843823082,0.995
0.9887165753684012,0.99
0.9889482919671868,0.985
0.9891749561884771,0.99
0.9893966867908537,1.0
0.9896135994928568,0.99
0.98982580712555,1.0
0.9900334195571496,0.995
0.9902365438638843,0.98
0.9904352844572921,0.99
0.9906297430432203,0.995
0.9908200187616986,0.975
0.9910062082943621,1.0
0.9911884058474689,1.0
0.9913667032677874,0.99
0.991541190134205,0.995
0.9917119537573131,0.995
0.9918790792765315,1.0
0.992042649739027,0.99
0.9922027461104621,0.98
0.9923594473573323,0.985
0.9925128305155521,1.0
0.9926629707085245,0.99
0.9928099412176585,1.0
0.992953813542526,0.995
0.993094657423413,0.995
0.9932325409023758,0.995
0.9933675303763327,0.995
0.9934996906222262,0.99
0.9936290848503047,1.0
0.9937557747513152,0.995
0.9938798205228889,0.995
0.9940012809164065,0.995
0.9941202132792167,1.0
0.9942366735812457,0.995
0.9943507164565707,1.0
0.9944623952413271,0.99
0.9945717619999337,0.99
0.9946788675621903,0.995
0.9947837615574648,0.99
0.9948864924401248,0.995
0.9949871075227806,0.995
0.9950856530072885,1.0
