prior,forced posterior,choose posterior
0.5,0.5,0.5
0.5,0.5,0.5
0.5,0.5248842592592592,0.5607638888888888
0.5,0.5433183834876544,0.5963541666666666
0.5,0.5718436535493827,0.6325593171296295
0.5,0.589718560950092,0.6432517722800924
0.5,0.6110923167064302,0.6895384402595591
0.5,0.6291249680311972,0.7094355662990824
0.5,0.6457098699685597,0.7305300180149991
0.5,0.6612893495251376,0.7519400096888078
0.5,0.6760478860872652,0.7761935565957738
0.5,0.6892210058359426,0.7906992755565694
0.5,0.7020855878515727,0.8065501062314533
0.5,0.7139550786983513,0.8209005422743072
0.5,0.7248521200875087,0.8363815734781088
0.5,0.7352748265321105,0.8449451936280244
0.5,0.7451788005769806,0.85773684218952
0.5,0.7543651881452683,0.8661920313560321
0.5,0.7630935289203953,0.8762530967061055
0.5,0.7713864626104965,0.8830084738310252
0.5,0.7792086045968313,0.8915071507716227
0.5,0.7866538744706495,0.8974162499073809
0.5,0.7937441269457717,0.9047184214111
0.5,0.800468519163448,0.9092726671141957
0.5,0.8068862769866026,0.9156374805494946
0.5,0.8130202558533293,0.919753861638639
0.5,0.8188669116811845,0.9250267848565636
0.5,0.824459372933534,0.9285105652710751
0.5,0.8298160367372094,0.9331471746590164
0.5,0.834942344225436,0.9362250218392857
0.5,0.8398567415893172,0.9401633725972042
0.5,0.8445747067667225,0.9428758481266971
0.5,0.8491020470333217,0.9463429376889554
0.5,0.8534519628079441,0.9487200458038659
0.5,0.857635387308506,0.9517510833764502
0.5,0.8616593427661996,0.9538575381575133
0.5,0.8655327595634418,0.9565277227353648
0.5,0.8692643975776488,0.9584165103424954
0.5,0.8728602627956744,0.9607569793311707
0.5,0.8763275071730173,0.9624494225894603
0.5,0.8796728192860952,0.964534372190719
0.5,0.882901575667845,0.9660450523088848
0.5,0.8860193325309399,0.9678951035264214
0.5,0.8890315263289668,0.9692621754449647
0.5,0.8919427234795567,0.9709103557538895
0.5,0.8947574743853952,0.9721397276645671
0.5,0.8974801862701848,0.97361416418871
0.5,0.9001147564954856,0.9747266945687184
0.5,0.9026649600263809,0.9760454538023817
0.5,0.9051344331135796,0.9770532426877083
0.5,0.9075264974170042,0.9782362729386168
0.5,0.909844318856633,0.9791493947468082
0.5,0.9120909503963517,0.9802135174897064
0.5,0.9142692146229908,0.9810419372961711
0.5,0.9163818061176503,0.9819990874217509
0.5,0.918431301777109,0.9827526848780684
0.5,0.9204201253941783,0.98361494054876
0.5,0.9223505759001255,0.9842998821207118
0.5,0.924224858479966,0.985078312857026
0.5,0.9260450544508552,0.985701717169178
0.5,0.9278131475096459,0.9864044548201866
0.5,0.9295310325074039,0.9869724191614719
0.5,0.9312005116159888,0.9876078345543123
0.5,0.9328233011932697,0.988125221475071
0.5,0.9344010446237859,0.9887002826402701
0.5,0.9359353072922857,0.9891720222054784
0.5,0.9374275846921519,0.9896927047290409
0.5,0.9388793080821902,0.9901230556549375
0.5,0.9402918456227065,0.9905949519696385
0.5,0.9416665055519615,0.9909875444271878
0.5,0.9430045417828952,0.9914155768829269
0.5,0.9443071548028954,0.9917739213965266
0.5,0.9455754948262307,0.9921623045591762
0.5,0.9468106651571936,0.9924895186499592
0.5,0.94801372401383,0.9928421946889824
0.5,0.9491856866893932,0.993140994659323
0.5,0.9503275282667074,0.9934614326413044
0.5,0.9514401852563141,0.9937343969925768
0.5,0.9525245574300557,0.9940256563560794
0.5,0.9535815098936165,0.9942750755267774
0.5,0.9546118745943553,0.9945399669728806
0.5,0.9556164518580775,0.9947678995794823
0.5,0.9565960120042247,0.9950089199350381
0.5,0.9575512967082287,0.9952172732753777
0.5,0.9584830202671387,0.9954366537867861
0.5,0.9593918709413897,0.99562714569398
0.5,0.9602785120959954,0.9958269203753911
0.5,0.9611435833082685,0.9960011028855532
0.5,0.9619877014501843,0.9961830936599274
0.5,0.9628114616897145,0.9963423963435051
0.5,0.963615438414664,0.9965082407447329
0.5,0.9644001861564898,0.9966539569220537
0.5,0.9651662404326543,0.9968051440780635
0.5,0.9659141185495785,0.9969384491105824
0.5,0.9666443203734016,0.9970763188987463
0.5,0.9673573290597672,0.9971982900032661
0.5,0.96805361173683,0.9973240528993139
0.5,0.9687336201672031,0.9974356684451706
0.5,0.9693977913703542,0.9975504233688924
0.5,0.9700465482140258,0.9976525748880296
