,prior,forced posterior,choose posterior
0,0.5,0.5,0.5
1,0.5,0.5,0.5
2,0.5,0.517376,0.5624
3,0.5,0.54473024,0.5935999999999999
4,0.5,0.5559731072,0.62168
5,0.5,0.5690041111040001,0.6462032
6,0.5,0.5855826607616,0.6760304
7,0.5,0.5957809317340159,0.690331232
8,0.5,0.6056425953688679,0.71350897568
9,0.5,0.6178964453178721,0.7308341672
10,0.5,0.6263350826348844,0.746035645856
11,0.5,0.6343469234642555,0.76093470987584
12,0.5,0.6438987912915398,0.7764405667447425
13,0.5,0.6509469834136232,0.7872261495222479
14,0.5,0.6576107032357783,0.8001889528121764
15,0.5,0.665298428284776,0.8116803915986023
16,0.5,0.6712452806550036,0.821266576060491
17,0.5,0.6768640460056248,0.8312734264330472
18,0.5,0.683183004799961,0.8409703950109995
19,0.5,0.6882420572255826,0.8487134774778208
20,0.5,0.6930263375577829,0.8571184953298115
21,0.5,0.6982975493293623,0.8650105781665859
22,0.5,0.7026314254083862,0.8715788064926305
23,0.5,0.7067356973179488,0.8785262799382836
24,0.5,0.7111824535890636,0.8851245427509992
25,0.5,0.7149172195650951,0.8906400799938745
26,0.5,0.7184597950148253,0.896479045228903
27,0.5,0.7222447963478504,0.9019961420851724
28,0.5,0.7254801578522437,0.9066683801394094
29,0.5,0.7285541238107702,0.911588897573155
30,0.5,0.7318000674064097,0.9162328666806786
31,0.5,0.7346161310342768,0.9201984621261509
32,0.5,0.7372961692679895,0.9243651898675953
33,0.5,0.740097984845047,0.9282869448240892
34,0.5,0.7425599352458573,0.9316633944937771
35,0.5,0.7449068308382751,0.9352017260681674
36,0.5,0.7473394233946965,0.9385242561130291
37,0.5,0.7495008484617995,0.9414054157929167
38,0.5,0.7515646246507277,0.9444174200900993
39,0.5,0.7536880164219378,0.9472393292610628
40,0.5,0.7555933383030888,0.9497027088608284
41,0.5,0.7574155201724098,0.9522714558384718
42,0.5,0.7592784031318468,0.9546733650351874
43,0.5,0.7609646984695628,0.9567829804708377
44,0.5,0.7625799973570891,0.9589771739835974
45,0.5,0.7642222684884771,0.9610252861560339
46,0.5,0.7657206594958736,0.9628345756331982
47,0.5,0.7671582567424154,0.9647112813115732
48,0.5,0.7686128767111657,0.9664604836815255
49,0.5,0.769949612826906,0.9680141537623083
50,0.5,0.7712341573211036,0.96962114188779
51,0.5,0.7725285441100986,0.9711171180222681
52,0.5,0.7737258554511853,0.9724527823971711
53,0.5,0.7748782511582594,0.9738301764057548
54,0.5,0.7760353449832701,0.9751111580270045
55,0.5,0.7771121241263469,0.9762605451572992
56,0.5,0.7781501599963989,0.9774421859499656
57,0.5,0.7791892501754651,0.9785402755568067
58,0.5,0.7801616025473832,0.9795302390837485
59,0.5,0.7811004618594769,0.9805447439299746
60,0.5,0.782037837658184,0.9814869889762983
61,0.5,0.7829195298488463,0.982340311668135
62,0.5,0.7837722058405086,0.9832119415320228
63,0.5,0.7846216747723672,0.9840211904465368
64,0.5,0.7854245025069753,0.984757247264901
65,0.5,0.7862021401563385,0.9855066106592346
66,0.5,0.7869754448884649,0.9862022105956885
67,0.5,0.7877095370510147,0.9868375121800291
68,0.5,0.788421715983374,0.9874821455434789
69,0.5,0.7891288725994572,0.9880805123116652
70,0.5,0.7898029438541304,0.9886291548320646
71,0.5,0.790457913836757,0.9891840027018314
72,0.5,0.7911074883629329,0.9896990901697259
73,0.5,0.7917290501046619,0.9901731286453558
74,0.5,0.7923339280307646,0.9906509434345455
75,0.5,0.7929332639794778,0.9910946318689904
76,0.5,0.7935088012503531,0.9915043913814331
77,0.5,0.7940697366077474,0.991916067516305
78,0.5,0.7946251432953949,0.9922984863836956
79,0.5,0.795160263722427,0.9926528223844074
80,0.5,0.7956825781040082,0.9930076766226841
81,0.5,0.7961994872955914,0.9933374739134506
82,0.5,0.7966990468959615,0.9936439906932488
83,0.5,0.7971873520078924,0.9939499979920392
84,0.5,0.7976704488007673,0.9942345656914805
85,0.5,0.7981386585646223,0.9944998002929204
86,0.5,0.7985969563347709,0.9947637927990433
87,0.5,0.7990502889543527,0.9950094561959272
88,0.5,0.7994908053829609,0.9952390336814987
89,0.5,0.7999225731033353,0.9954668689872439
90,0.5,0.8003496453365948,0.9956790460355553
91,0.5,0.8007656475351753,0.9958778109195429
92,0.5,0.8011739104428967,0.9960745146134224
93,0.5,0.8015777597037984,0.9962578503939413
94,0.5,0.8019720151674674,0.996429978170622
95,0.5,0.8023594084462637,0.9965998648198049
96,0.5,0.802742671896323,0.9967583452267421
97,0.5,0.8031175927573979,0.9969074372219576
98,0.5,0.8034864146015691,0.9970542132078407
99,0.5,0.8038513852990932,0.9971912612482743
