,prior,forced posterior,choose posterior
0,0.5,0.5,0.5
1,0.5,0.5,0.5
2,0.5,0.5231481481481481,0.5555555555555556
3,0.5,0.5501543209876543,0.5833333333333334
4,0.5,0.5736882716049383,0.6388888888888888
5,0.5,0.5875342935528121,0.6504629629629629
6,0.5,0.6095750457247371,0.6890432098765431
7,0.5,0.6254197387974394,0.725051440329218
8,0.5,0.6392347020588831,0.7469564471879285
9,0.5,0.6547978162204269,0.7664984139231823
10,0.5,0.6684016697202745,0.7976867926954732
11,0.5,0.679779534925443,0.8127857796067669
12,0.5,0.6925080804220564,0.828384545931927
13,0.5,0.7036834160375446,0.8477565126658577
14,0.5,0.713601296065562,0.8614719419746335
15,0.5,0.7240801467373736,0.8713280545473882
16,0.5,0.7336107449035207,0.8853890858199244
17,0.5,0.7422054366074949,0.8951602715217454
18,0.5,0.7510949043681985,0.902966418351508
19,0.5,0.7592908990826441,0.91229212887947
20,0.5,0.7668238525849717,0.9200576948199263
21,0.5,0.7744668039176573,0.9256854287201245
22,0.5,0.7816043257539128,0.9325177414485725
23,0.5,0.7882426212985479,0.9382276828307043
24,0.5,0.7948975271033335,0.9427228455867913
25,0.5,0.8011653526662486,0.947577354173656
26,0.5,0.8070510564121154,0.9520070293231413
27,0.5,0.8128991605314317,0.9554556540802686
28,0.5,0.8184441666054547,0.9591178622668087
29,0.5,0.8236886627742261,0.9624505269544283
30,0.5,0.8288672707577902,0.9652087213411422
31,0.5,0.8338025241984188,0.9679492105056332
32,0.5,0.838496764917568,0.9705283148760139
33,0.5,0.84311123694807,0.9726890619808705
34,0.5,0.847526548804576,0.9748079645488524
35,0.5,0.851744903596774,0.9767835999387687
36,0.5,0.8558783313036316,0.9785028957096876
37,0.5,0.8598459675497401,0.9801379780334133
38,0.5,0.8636500406060381,0.9816764033824493
39,0.5,0.8673690729464214,0.983030508698411
40,0.5,0.8709480977344353,0.9843120965633108
41,0.5,0.8743893412765782,0.9855079466077219
42,0.5,0.8777483192539446,0.9865812536483106
43,0.5,0.8809875947939987,0.9875849520325672
44,0.5,0.884109359468883,0.9885235642605701
45,0.5,0.8871531870039243,0.9893706163254705
46,0.5,0.8900935877208029,0.9901621369049258
47,0.5,0.8929326790773556,0.9908994710486959
48,0.5,0.8956989047170401,0.9915701609525692
49,0.5,0.8983749556685283,0.9921940871126521
50,0.5,0.9009628463529267,0.9927765088054807
51,0.5,0.9034831936584494,0.9933068671874948
52,0.5,0.9059243102857523,0.9938002324341195
53,0.5,0.9082880886381032,0.9942608221171853
54,0.5,0.9105896048128029,0.994681101889592
55,0.5,0.9128210429636089,0.9950712246357197
56,0.5,0.9149841636569889,0.9954365548315444
57,0.5,0.9170900948486603,0.9957696196877488
58,0.5,0.9191336890173414,0.996078634697393
59,0.5,0.9211165720033834,0.9963686569454959
60,0.5,0.9230470402632404,0.9966330028145215
61,0.5,0.9249217840877555,0.9968778704243368
62,0.5,0.9267422966494139,0.9971084714880158
63,0.5,0.9285148303629165,0.9973183811964705
64,0.5,0.930237338218965,0.9975126559669855
65,0.5,0.9319111860436534,0.9976961164874338
66,0.5,0.9335411405978763,0.9978629787823208
67,0.5,0.9351260184234943,0.9980172159071407
68,0.5,0.9366670653061393,0.9981633005270987
69,0.5,0.9381679604201172,0.9982960173870887
70,0.5,0.9396281064780372,0.9984185947731002
71,0.5,0.9410486375831656,0.9985349676203608
72,0.5,0.9424324305954483,0.9986406071263719
73,0.5,0.9437792815861821,0.9987380977317899
74,0.5,0.9450902217370808,0.998830853943556
75,0.5,0.9463675311172948,0.9989149825152186
76,0.5,0.9476112652478632,0.99899259052816
77,0.5,0.9488223611173922,0.9990665498681645
78,0.5,0.9500026508806118,0.9991335858111322
79,0.5,0.9511523567162937,0.9991954122836524
80,0.5,0.9522723298384266,0.9992544091996893
81,0.5,0.9533640629447092,0.9993078484999904
82,0.5,0.9544278808239807,0.9993571407736038
83,0.5,0.9554645568585765,0.9994042183075993
84,0.5,0.9564753237792479,0.9994468382019881
85,0.5,0.9574605650471631,0.9994861638005249
86,0.5,0.9584209835927027,0.9995237438720688
87,0.5,0.9593576108177625,0.9995577482005733
88,0.5,0.9602708589864771,0.9995891429172735
89,0.5,0.9611613673584684,0.9996191512599198
90,0.5,0.9620300095671324,0.9996462924750438
91,0.5,0.9628772066423329,0.9996713703723907
92,0.5,0.9637035403548093,0.9996953404553008
93,0.5,0.9645097591765246,0.9997170117008481
94,0.5,0.9652962797229729,0.9997370548353596
95,0.5,0.9660636318792695,0.9997562074827547
96,0.5,0.9668124635670379,0.9997735175333212
97,0.5,0.967543178573044,0.9997895447192026
98,0.5,0.9682562599548417,0.9998048527056635
99,0.5,0.9689522738272285,0.9998186840817576
