,prior,forced posterior,choose posterior
0,0.5,0.5,0.5
1,0.5,0.5,0.5
2,0.5,0.5248842592592592,0.5607638888888888
3,0.5,0.5433183834876544,0.5963541666666666
4,0.5,0.5718436535493827,0.6325593171296295
5,0.5,0.589718560950092,0.6432517722800924
6,0.5,0.6110923167064302,0.6895384402595591
7,0.5,0.6291249680311972,0.7094355662990824
8,0.5,0.6457098699685597,0.7305300180149991
9,0.5,0.6612893495251376,0.7519400096888078
10,0.5,0.6760478860872652,0.7761935565957738
11,0.5,0.6892210058359426,0.7906992755565694
12,0.5,0.7020855878515727,0.8065501062314533
13,0.5,0.7139550786983513,0.8209005422743072
14,0.5,0.7248521200875087,0.8363815734781088
15,0.5,0.7352748265321105,0.8449451936280244
16,0.5,0.7451788005769806,0.85773684218952
17,0.5,0.7543651881452683,0.8661920313560321
18,0.5,0.7630935289203953,0.8762530967061055
19,0.5,0.7713864626104965,0.8830084738310252
20,0.5,0.7792086045968313,0.8915071507716227
21,0.5,0.7866538744706495,0.8974162499073809
22,0.5,0.7937441269457717,0.9047184214111
23,0.5,0.800468519163448,0.9092726671141957
24,0.5,0.8068862769866026,0.9156374805494946
25,0.5,0.8130202558533293,0.919753861638639
26,0.5,0.8188669116811845,0.9250267848565636
27,0.5,0.824459372933534,0.9285105652710751
28,0.5,0.8298160367372094,0.9331471746590164
29,0.5,0.834942344225436,0.9362250218392857
30,0.5,0.8398567415893172,0.9401633725972042
31,0.5,0.8445747067667225,0.9428758481266971
32,0.5,0.8491020470333217,0.9463429376889554
33,0.5,0.8534519628079441,0.9487200458038659
34,0.5,0.857635387308506,0.9517510833764502
35,0.5,0.8616593427661996,0.9538575381575133
36,0.5,0.8655327595634418,0.9565277227353648
37,0.5,0.8692643975776488,0.9584165103424954
38,0.5,0.8728602627956744,0.9607569793311707
39,0.5,0.8763275071730173,0.9624494225894603
40,0.5,0.8796728192860952,0.964534372190719
41,0.5,0.882901575667845,0.9660450523088848
42,0.5,0.8860193325309399,0.9678951035264214
43,0.5,0.8890315263289668,0.9692621754449647
44,0.5,0.8919427234795567,0.9709103557538895
45,0.5,0.8947574743853952,0.9721397276645671
46,0.5,0.8974801862701848,0.97361416418871
47,0.5,0.9001147564954856,0.9747266945687184
48,0.5,0.9026649600263809,0.9760454538023817
49,0.5,0.9051344331135796,0.9770532426877083
50,0.5,0.9075264974170042,0.9782362729386168
51,0.5,0.909844318856633,0.9791493947468082
52,0.5,0.9120909503963517,0.9802135174897064
53,0.5,0.9142692146229908,0.9810419372961711
54,0.5,0.9163818061176503,0.9819990874217509
55,0.5,0.918431301777109,0.9827526848780684
56,0.5,0.9204201253941783,0.98361494054876
57,0.5,0.9223505759001255,0.9842998821207118
58,0.5,0.924224858479966,0.985078312857026
59,0.5,0.9260450544508552,0.985701717169178
60,0.5,0.9278131475096459,0.9864044548201866
61,0.5,0.9295310325074039,0.9869724191614719
62,0.5,0.9312005116159888,0.9876078345543123
63,0.5,0.9328233011932697,0.988125221475071
64,0.5,0.9344010446237859,0.9887002826402701
65,0.5,0.9359353072922857,0.9891720222054784
66,0.5,0.9374275846921519,0.9896927047290409
67,0.5,0.9388793080821902,0.9901230556549375
68,0.5,0.9402918456227065,0.9905949519696385
69,0.5,0.9416665055519615,0.9909875444271878
70,0.5,0.9430045417828952,0.9914155768829269
71,0.5,0.9443071548028954,0.9917739213965266
72,0.5,0.9455754948262307,0.9921623045591762
73,0.5,0.9468106651571936,0.9924895186499592
74,0.5,0.94801372401383,0.9928421946889824
75,0.5,0.9491856866893932,0.993140994659323
76,0.5,0.9503275282667074,0.9934614326413044
77,0.5,0.9514401852563141,0.9937343969925768
78,0.5,0.9525245574300557,0.9940256563560794
79,0.5,0.9535815098936165,0.9942750755267774
80,0.5,0.9546118745943553,0.9945399669728806
81,0.5,0.9556164518580775,0.9947678995794823
82,0.5,0.9565960120042247,0.9950089199350381
83,0.5,0.9575512967082287,0.9952172732753777
84,0.5,0.9584830202671387,0.9954366537867861
85,0.5,0.9593918709413897,0.99562714569398
86,0.5,0.9602785120959954,0.9958269203753911
87,0.5,0.9611435833082685,0.9960011028855532
88,0.5,0.9619877014501843,0.9961830936599274
89,0.5,0.9628114616897145,0.9963423963435051
90,0.5,0.963615438414664,0.9965082407447329
91,0.5,0.9644001861564898,0.9966539569220537
92,0.5,0.9651662404326543,0.9968051440780635
93,0.5,0.9659141185495785,0.9969384491105824
94,0.5,0.9666443203734016,0.9970763188987463
95,0.5,0.9673573290597672,0.9971982900032661
96,0.5,0.96805361173683,0.9973240528993139
97,0.5,0.9687336201672031,0.9974356684451706
98,0.5,0.9693977913703542,0.9975504233688924
99,0.5,0.9700465482140258,0.9976525748880296
